2025-08-11T11:45:40.294+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] com.wipro.bhanu.QuizServiceApplication   : Starting QuizServiceApplication using Java 21.0.7 with PID 15752 (D:\Microservices\Quiz-Service\target\classes started by BHANU in D:\Microservices\Quiz-Service)
2025-08-11T11:45:40.302+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] com.wipro.bhanu.QuizServiceApplication   : No active profile set, falling back to 1 default profile: "default"
2025-08-11T11:45:40.304+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.boot.SpringApplication               : Loading source class com.wipro.bhanu.QuizServiceApplication
2025-08-11T11:45:40.383+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://localhost:8088
2025-08-11T11:45:40.383+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.c.c.ConfigServerConfigDataLoader   : Located environment: name=QUIZ-SERVICE, profiles=[default], label=null, version=0d8856ae76556cf1c00dfa2cd27c7baa57d59ef1, state=
2025-08-11T11:45:40.384+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.c.c.ConfigServerConfigDataLoader   : Environment QUIZ-SERVICE has 1 property sources with 3 properties.
2025-08-11T11:45:40.387+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/D:/Microservices/Quiz-Service/target/classes/]
2025-08-11T11:45:40.387+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2025-08-11T11:45:40.387+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2025-08-11T11:45:40.388+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-08-11T11:45:40.389+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-08-11T11:45:40.390+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5be838e3
2025-08-11T11:45:40.425+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-08-11T11:45:40.459+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-08-11T11:45:40.580+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\Microservices\Quiz-Service\target\classes\com\wipro\bhanu\controller\QuizController.class]
2025-08-11T11:45:40.611+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\Microservices\Quiz-Service\target\classes\com\wipro\bhanu\repository\QuizRepository.class]
2025-08-11T11:45:40.616+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\Microservices\Quiz-Service\target\classes\com\wipro\bhanu\service\QuizService.class]
2025-08-11T11:45:41.427+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.c.openfeign.FeignClientsRegistrar$1  : Identified candidate component class: file [D:\Microservices\Quiz-Service\target\classes\com\wipro\bhanu\feign\QuizInterface.class]
2025-08-11T11:45:41.869+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-11T11:45:41.879+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-08-11T11:45:41.889+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.wipro.bhanu'. Automatic @Repository and @Entity scanning is enabled.
2025-08-11T11:45:41.890+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.wipro.bhanu.
2025-08-11T11:45:41.900+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\Microservices\Quiz-Service\target\classes\com\wipro\bhanu\repository\QuizRepository.class]
2025-08-11T11:45:42.067+05:30  INFO 15752 --- [QUIZ-SERVICE] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 175 ms. Found 1 JPA repository interface.
2025-08-11T11:45:42.339+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'refreshScope'
2025-08-11T11:45:42.342+05:30 DEBUG 15752 --- [QUIZ-SERVICE] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$RefreshScopeBeanDefinitionEnhancer'
